chembl_id	accession	organism	pref_name	chembl_id_target	smiles	pIC50
CHEMBL329120	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC1C=NC(=C(C2C=CC(S(=O)(=O)C)=CC=2)C=1)C1=CN=CC=C1	4.22914798835786
CHEMBL329120	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1C=NC(=C(C2C=CC(S(=O)(=O)C)=CC=2)C=1)C1=CN=CC=C1	6.0668563304579
CHEMBL329177	P35355	Rattus_norvegicus	Cyclooxygenase-2	CHEMBL2977	CC(C(O)=O)C1=C2C(=C(CC3C(Cl)=CC=CC=3)C=C1)C=CC(OC)=C2	5.76955107862173
CHEMBL329177	Q63921	Rattus_norvegicus	Cyclooxygenase-1	CHEMBL4042	CC(C(O)=O)C1=C2C(=C(CC3C(Cl)=CC=CC=3)C=C1)C=CC(OC)=C2	5.63827216398241
CHEMBL329292	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(=O)NC1C=CC(C3C=CC=CC=3)=CC=1)C=C(OC)C=C2	6.30102999566398
CHEMBL329419	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2=C(N=CC=C2)C2=CN=CC=C2)=CC=1	6.21467016498923
CHEMBL329480	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=NC1=CN=CC=C1)C=C(OC)C=C2	7.2839966563652
CHEMBL329688	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	COC1C=CC(C2SCC(=O)N2CCN2C(SCC2=O)C2C=CC(OC)=CC=2)=CC=1	4.27002571430044
CHEMBL329688	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1C=CC(C2SCC(=O)N2CCN2C(SCC2=O)C2C=CC(OC)=CC=2)=CC=1	5.95078197732982
CHEMBL329919	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	C1C=C2C(C3N(N=C(C(F)(F)F)C=3SC2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1	6.39794000867204
CHEMBL329919	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	C1C=C2C(C3N(N=C(C(F)(F)F)C=3SC2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1	7.69897000433602
CHEMBL329999	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2=C(C3C=CC(C(F)(F)F)=CC=3)CC3(C2)CC3)=CC=1	8.69897000433602
CHEMBL330162	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=NCC1C=CC(C(=O)C)=CC=1)C=C(OC)C=C2	7.09691001300806
CHEMBL330194	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CCCCCCCOC(=O)CC1C2=C(N(C(=O)C3C=CC(Cl)=CC=3)C=1C)C=CC(OC)=C2	7.39794000867204
CHEMBL330227	P05979	Ovis_aries	Cyclooxygenase-1	CHEMBL2949	CCCC1=CC(=C(O)C=C1)C1=CC(=C(O)C=C1)CCC	6.09691001300806
CHEMBL330227	P79208	Ovis_aries	Cyclooxygenase-2	CHEMBL4102	CCCC1=CC(=C(O)C=C1)C1=CC(=C(O)C=C1)CCC	5.67778070526608
CHEMBL330231	P35355	Rattus_norvegicus	Cyclooxygenase-2	CHEMBL2977	CC(C(O)=O)C1=C2C(=C(CC3C=CC(C(=O)C)=CC=3)C=C1)C=CC(OC)=C2	5.18045606445813
CHEMBL330279	P35355	Rattus_norvegicus	Cyclooxygenase-2	CHEMBL2977	CC(C(O)=O)C1=C2C(=C(CC3=CC(Cl)=CC=C3)C=C1)C=CC(OC)=C2	4.83268266525182
CHEMBL330314	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	C1=C(C2=C(C3C=CC(S(=O)(=O)N)=CC=3)CC3(C2)CC3)C=CC(C(F)(F)F)=C1	6.30102999566398
CHEMBL330314	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	C1=C(C2=C(C3C=CC(S(=O)(=O)N)=CC=3)CC3(C2)CC3)C=CC(C(F)(F)F)=C1	9
CHEMBL330381	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=NC1=CC(SC)=CC=C1)C=C(OC)C=C2	6.65757731917779
CHEMBL330516	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC1(C(=NO)C(=C1C1C=CC(S(=O)(=O)C)=CC=1)C1C=CC=CC=1)C	4.46852108295774
CHEMBL330516	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1(C(=NO)C(=C1C1C=CC(S(=O)(=O)C)=CC=1)C1C=CC=CC=1)C	7.21467016498923
CHEMBL330722	P35355	Rattus_norvegicus	Cyclooxygenase-2	CHEMBL2977	COC1C=C2C(C(=C(CC(O)=O)C=C2)CC2C=CC(Cl)=CC=2)=CC=1	4.95860731484177
CHEMBL330976	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2=NN3C(N=CC=C3)=C2C2C=CC(F)=CC=2)=CC=1	5.37664731846201
CHEMBL331135	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(N2C(=C(N=C2)Cl)C2C=CC=CC=2)=CC=1	6.9100948885606
CHEMBL331148	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1C=CC(C2N(C3C=CC(S(=O)(=O)C)=CC=3)C=NC=2Cl)=CC=1	7.79588001734407
CHEMBL331278	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2N(C(=NC=2)C(=O)C2C=CC=CC=2)C2C=CC(F)=CC=2)=CC=1	7.52287874528034
CHEMBL331749	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC(C1=C2OCC(C2=CC(NC2C(C(O)=O)=CC=CC=2)=C1)(C)C)(C)C	5.60205999132796
